id,thread_id,sender_id,body,created_at
91000000-0000-0000-0000-000000000001,90000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000004,Can we switch Avery from Monday to Wednesday this week?,2026-02-04T10:05:00.000Z
91000000-0000-0000-0000-000000000002,90000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000001,Yes. I moved it to Wednesday at 5 PM and updated the tutor.,2026-02-04T10:35:00.000Z
91000000-0000-0000-0000-000000000003,90000000-0000-0000-0000-000000000002,00000000-0000-0000-0000-000000000004,Blake has a school event Thursday. Any open Sunday slots?,2026-02-04T11:05:00.000Z
91000000-0000-0000-0000-000000000004,90000000-0000-0000-0000-000000000002,00000000-0000-0000-0000-000000000006,We can do Sunday at 2 PM. I reserved it for now.,2026-02-04T11:35:00.000Z
91000000-0000-0000-0000-000000000005,90000000-0000-0000-0000-000000000003,00000000-0000-0000-0000-000000000005,Casey is behind on fractions. Can we focus next session there?,2026-02-05T12:05:00.000Z
91000000-0000-0000-0000-000000000006,90000000-0000-0000-0000-000000000003,00000000-0000-0000-0000-000000000007,Absolutely. I added fractions as the top priority for this week.,2026-02-05T12:35:00.000Z
91000000-0000-0000-0000-000000000007,90000000-0000-0000-0000-000000000004,00000000-0000-0000-0000-000000000010,Can Emerson do virtual today instead of in person?,2026-02-05T13:05:00.000Z
91000000-0000-0000-0000-000000000008,90000000-0000-0000-0000-000000000004,00000000-0000-0000-0000-000000000001,Yes. I sent the video link and notes to the tutor.,2026-02-05T13:35:00.000Z
91000000-0000-0000-0000-000000000009,90000000-0000-0000-0000-000000000005,00000000-0000-0000-0000-000000000011,Gray will be 10 minutes late. Should we still come?,2026-02-06T14:05:00.000Z
91000000-0000-0000-0000-000000000010,90000000-0000-0000-0000-000000000005,00000000-0000-0000-0000-000000000006,"Yes, please come. We will shorten warm up and keep core practice.",2026-02-06T14:35:00.000Z
91000000-0000-0000-0000-000000000011,90000000-0000-0000-0000-000000000006,00000000-0000-0000-0000-000000000012,Jules finished the homework packet early.,2026-02-06T15:05:00.000Z
91000000-0000-0000-0000-000000000012,90000000-0000-0000-0000-000000000006,00000000-0000-0000-0000-000000000007,Great progress. We will move to multi step word problems next.,2026-02-06T15:35:00.000Z
91000000-0000-0000-0000-000000000013,90000000-0000-0000-0000-000000000007,00000000-0000-0000-0000-000000000013,Can Kai get two sessions next week before the quiz?,2026-02-07T10:05:00.000Z
91000000-0000-0000-0000-000000000014,90000000-0000-0000-0000-000000000007,00000000-0000-0000-0000-000000000001,Yes. I added Tuesday and Thursday at 6 PM.,2026-02-07T10:35:00.000Z
91000000-0000-0000-0000-000000000015,90000000-0000-0000-0000-000000000008,00000000-0000-0000-0000-000000000014,Logan is anxious about chemistry labs.,2026-02-07T11:05:00.000Z
91000000-0000-0000-0000-000000000016,90000000-0000-0000-0000-000000000008,00000000-0000-0000-0000-000000000006,Understood. Tutor will run a lab write up walkthrough first.,2026-02-07T11:35:00.000Z
91000000-0000-0000-0000-000000000017,90000000-0000-0000-0000-000000000009,00000000-0000-0000-0000-000000000015,Can we pause Oakley for one week due to travel?,2026-02-08T12:05:00.000Z
91000000-0000-0000-0000-000000000018,90000000-0000-0000-0000-000000000009,00000000-0000-0000-0000-000000000007,"Yes, I marked next week as skipped and no hours will be used.",2026-02-08T12:35:00.000Z
91000000-0000-0000-0000-000000000019,90000000-0000-0000-0000-000000000010,00000000-0000-0000-0000-000000000016,Quinn is unassigned right now. Any tutor openings this Sunday?,2026-02-08T13:05:00.000Z
91000000-0000-0000-0000-000000000020,90000000-0000-0000-0000-000000000010,00000000-0000-0000-0000-000000000001,"Yes, I can place Quinn Sunday at 3 PM pending confirmation.",2026-02-08T13:35:00.000Z
91000000-0000-0000-0000-000000000021,90000000-0000-0000-0000-000000000011,00000000-0000-0000-0000-000000000017,Skyler asked for more algebra and less test drills.,2026-02-09T14:05:00.000Z
91000000-0000-0000-0000-000000000022,90000000-0000-0000-0000-000000000011,00000000-0000-0000-0000-000000000006,Noted. I updated the lesson plan to shift toward algebra practice.,2026-02-09T14:35:00.000Z
91000000-0000-0000-0000-000000000023,90000000-0000-0000-0000-000000000012,00000000-0000-0000-0000-000000000004,General question: do you have any spots for a sibling intake?,2026-02-20T16:05:00.000Z
91000000-0000-0000-0000-000000000024,90000000-0000-0000-0000-000000000012,00000000-0000-0000-0000-000000000001,"Yes, please submit a new intake and I can review it this week.",2026-02-20T16:35:00.000Z
